schoolid,suburb,schoolname,region,address,longitude,latitude
458,CRAIGIEBURN,Craigieburn Secondary College,,"102 Hothlyn Dr, Craigieburn VIC 3064",144.9361,-37.6084
459,BELL POST HILL,Covenant College,,"14049 Scenic Hwy, Lookout Mountain, GA 30750",-85.3743,34.9665
460,CORRYONG,Corryong College,,"27-45 Towong Rd, Corryong VIC 3707",147.9106,-36.1926
461,BANGHOLME,Cornish College,,"65 Riverend Rd, Bangholme VIC 3175",145.1515,-38.0491
462,CORIO,Corio Bay Senior College,,"38 Hendy St, Corio VIC 3214",144.3666,-38.0715
463,DELAHEY,Copperfield College,,"70 Goldsmith Ave, Delahey VIC 3037",144.7721,-37.7198
464,SPRINGVALE SOUTH,COOMOORA SECONDARY COLLEGE,,"8-20 Janine Rd, Springvale South VIC 3172",145.1595,-37.9668
465,COLLINGWOOD,Collingwood College,,"Cromwell St & McCutcheon Way, Abbotsford VIC 3067",144.9904,-37.8034
466,COLAC,Colac Secondary College,,"173 Queen St, Colac VIC 3250",143.5907,-38.3516
467,COLAC,COLAC HIGH SCHOOL,,"173 Queen St, Colac VIC 3250",143.5907,-38.3516
468,COLAC,COLAC COLLEGE,,"174 Queen St, Colac VIC 3250",143.5907,-38.3516
469,COHUNA,Cohuna Secondary College,,"6415 Murray Valley Hwy, Cohuna VIC 3568",144.227,-35.8133
470,COBURG,Coburg Senior High School,,"101 Urquhart St, Coburg VIC 3058",144.9768,-37.7414
471,COBRAM,Cobram Secondary College,,"25/47 Warkil St, Cobram VIC 3644",145.6543,-35.9135
472,COBRAM,Cobram Anglican Grammar School,,"40-48 Campbell Rd, Cobram VIC 3644",145.6601,-35.9243
473,COBDEN,Cobden Technical School,,"McKenzie St, Cobden VIC 3266",143.069,-38.3195
474,GEELONG WEST,Clonard College,,"225-239 Church St, Herne Hill VIC 3218",144.33,-38.1298
475,WAURN PONDS,Christian College,,"59 Parsons St, Sunshine VIC 3020",144.8392,-37.7913
476,ST KILDA EAST,Christian Brothers College,,"214 Wakefield St, Adelaide SA 5000",138.6094,-34.9281
477,COBRAM,Christ the King Anglican College,,"40-48 Campbell Rd, Cobram VIC 3644",145.6601,-35.9243
478,DANDENONG,Chisholm Institute,,"121 Stud Rd, Dandenong VIC 3175",145.2196,-37.9752
479,CHELTENHAM,Cheltenham Secondary College,,"73 Bernard St, Cheltenham VIC 3192",145.0684,-37.9539
480,CHARLTON,Charlton College,,"Davies Street, Charlton VIC 3525",143.3558,-36.2694
481,MACLEOD WEST,Charles La Trobe P-12 College,,"235 Kingsbury Dr, Macleod VIC 3085",145.0576,-37.7291
482,DROUIN,Chairo Christian School,,"76 Balfour Rd, Drouin VIC 3818",145.8785,-38.1428
483,MELBOURNE,Centre for Adult Education,,"253 Flinders Ln, Melbourne VIC 3000",144.9658,-37.8169
484,NEWBOROUGH,Central Gippsland Institute of TAFE,,"GPO Box 5387, Melbourne, Australia, 3001",144.9623,-37.8142
485,ST KILDA EAST,Caulfield Grammar School,,"217 Glen Eira Rd, East St Kilda VIC 3183",145.0037,-37.8776
486,MELTON WEST,Catholic Regional College,,"10-28 College St, Caroline Springs VIC 3023",144.7396,-37.7289
487,ELTHAM,Catholic Ladies College,,"19 Diamond St, Eltham VIC 3095",145.1434,-37.7117
