schoolid,suburb,schoolname,region,address,longitude,latitude
275,WARRAGUL,Marist Sion College,,"165 Burke St, Warragul VIC 3820",145.9144,-38.1586
276,MARIBYRNONG,Maribyrnong Secondary College,,"River St, Maribyrnong VIC 3032",144.8881,-37.7797
277,ARARAT,Marian College Ararat,,"304 Barkly St, Ararat VIC 3377",142.9406,-37.2847
278,SUNSHINE WEST,Marian College,NORTH WEST,"196 Glengala Rd, Sunshine West VIC 3020",144.8061,-37.7878
279,BULLEEN,Marcellin College,,"160 Bulleen Rd, Bulleen VIC 3105",145.0797,-37.7681
280,ENDEAVOUR HILLS,Maranatha Christian School,,"146 Kidds Rd, Doveton VIC 3177",145.2367,-37.9874
281,MANSFIELD,Mansfield Secondary College,,"15 View St, Mansfield VIC 3722",146.0879,-37.0622
282,WYNDHAM VALE,Manor Lakes P-12 College,SOUTH WEST,"2 - 50 Minindee Road, Wyndham Vale VIC 3024",144.6025,-37.8768
283,MANANGATANG,Manangatang P-12 College,,"4105 Mallee Hwy, Manangatang VIC 3546",142.8841,-35.055
284,MALLACOOTA,Mallacoota P-12 College,,"25 Bucknall St, Mallacoota VIC 3892",149.7538,37.5605
285,MAFFRA,Maffra Secondary College,,"14 Bill Cane Ct, Maffra VIC 3860",149.7538,-37.5605
286,MACLEOD,Macleod College,,"Carwarp St, Macleod VIC 3085",145.072,-37.7272
287,WERRIBEE,MacKillop Catholic Reg College,SOUTH WEST,"Russell St, Werribee VIC 3030",144.6612,-37.9107
288,MACEDON,MACEDON GRAMMAR SCHOOL,,"110 Bailey Rd, Macedon VIC 3440",144.5332,-37.4457
289,MELBOURNE,Mac.Robertson Girls High School,,"350-370 Kings Way, Melbourne VIC 3004",144.9722,-37.836
290,CRANBOURNE,Lyndhurst Secondary College,,"950 S Gippsland Hwy, Cranbourne VIC 3977",145.2714,-38.0744
291,DANDENONG NORTH,Lyndale Secondary College,,"170-174 Gladstone Rd, Dandenong North VIC 3175",145.2069,-37.9577
292,RICHMOND,Lynall Hall Community School,,"17 Gleadell St, Richmond VIC 3121",145.0022,-37.8166
293,CROYDON HILLS,Luther College,,"1-39 Plymouth Rd, Croydon VIC 3136",145.0022,-37.8166
294,WATSONIA,Loyola College,,"325 Grimshaw St, Watsonia VIC 3087",145.0798,-37.7023
295,ESSENDON,Lowther Hall Anglican Grammar School,,"17 Leslie Rd, Essendon VIC 3040",144.9145,-37.7595
296,NEWBOROUGH,Lowanna College,,"72-96 Newark Ave, Newborough VIC 3825",146.2858,-38.1767
297,LORNE,Lorne Aireys Inlet P-12 College,,"15 Grove Rd, Lorne VIC 3232",143.9732,-38.539
298,TOORAK,Loreto Mandeville Hall,,"10 Mandeville Cres, Toorak VIC 3142",145.0128,-37.848
299,BALLARAT,Loreto College,,"415 Cavendish Rd, Coorparoo QLD 4151",153.0639,-27.5088
300,YARRA JUNCTION,Little Yarra Steiner School,,"205 Little Yarra Rd, Yarra Junction VIC 3797",145.6313,-37.7939
301,LILYDALE,Lilydale High School,,"25 Melba Ave, Lilydale VIC 3140",145.3446,-37.7607
302,LILYDALE,Lilydale Heights College,,"17 Nelson Rd, Lilydale VIC 3140",145.3411,-37.746
303,LILYDALE,Lilydale Adventist Academy,,"47 Edinburgh Rd., Lilydale VIC 3140",145.3508,-37.7848
304,KEYSBOROUGH,Lighthouse Christian College,,"927 Springvale Rd, Keysborough VIC 3173",145.143,-38.0011
305,LEONGATHA,Leongatha Secondary College,,"Nerrena Rd, Leongatha VIC 3953",145.9759,-38.4815
306,ELSTERNWICK,Leibler Yavneh College,,"2 Nagle Ave, Elsternwick VIC 3185",145.0064,-37.8931
307,LAVERTON,Laverton P-12 College,,"91 Bladin St, Laverton VIC 3028",144.7727,-37.8571
308,LAVERS HILL,Lavers Hill P-12 College,,"10 College Dr, Lavers Hill VIC 3238",143.3835,-38.6819
309,TRARALGON,Lavalla Catholic College,,"33-49 Kosciuszko St, Traralgon VIC 3844",146.5148,-38.2008
310,ARMADALE,Lauriston Girls School,,"38 Huntingtower Rd, Armadale VIC 3143",145.0248,-37.8511
311,LARA,Lara Secondary College,,"34 Alkara Ave, Lara VIC 3212",144.4124,-38.0185
312,LALOR,Lalor Secondary College,,"David St & Dalton Road, Lalor VIC 3075",145.031,-37.6734
313,EPPING,Lalor North Secondary College,,"114 Childs Rd, Epping VIC 3076",145.0345,-37.6612
314,CAROLINE SPRINGS,Lakeview Senior College,NORTH WEST,"College St, Caroline Springs VIC 3023",144.7371,-37.7304
315,RESERVOIR,Lakeside Secondary College,,"21-29 Radford Rd, Reservoir VIC 3073",144.9823,-37.7109
316,PAKENHAM,Lakeside Lutheran College,,"2 Portobello Rd, Pakenham VIC 3810",145.4558,-38.0645
317,LAKES ENTRANCE,Lakes Entrance Secondary College,,"1-11 North St, Lakes Entrance VIC 3909",147.9981,-37.8714
318,LAKE BOLAC,Lake Bolac College,,"90 Montgomery St, Lake Bolac VIC 3351",142.8377,-37.7203
319,MACLEOD,LA TROBE SECONDARY COLLEGE,,"235 Kingsbury Dr, Macleod VIC 3085",145.0576,-37.7291
320,KYNETON,Kyneton Secondary College,,"Epping St, Kyneton VIC 3444",144.4621,-37.252
321,KYABRAM,Kyabram P-12 College,,"57 Fischer St, Kyabram VIC 3620",145.0516,-36.3179
322,MELTON,Kurunjang Secondary College,,"10 Kurunjang Dr, Kurunjang VIC 3337",144.5847,-37.6722
323,CHURCHILL,Kurnai College,,"Northways Road & McDonald Way, Churchill VIC 3842",146.4251,-38.3115
324,KORUMBURRA,Korumburra Secondary College,,"125 Jumbunna Rd, Korumburra VIC 3950",145.8038,-38.4437
325,GLEN IRIS,Korowa Anglican Girl's School,,"10-16 Ranfurlie Cres, Glen Iris VIC 3146",145.0545,-37.8614
326,MONT ALBERT NORTH,Koonung Secondary College,,"615 Elgar Rd, Mont Albert North VIC 3129",145.1177,-37.8023
327,KOO WEE RUP,Koo Wee Rup Secondary College,,"Rossiter Rd, Koo Wee Rup VIC 3981",145.4855,-38.2014
328,GREENVALE,Kolbe Catholic College,,"25 Dowling St, Rockingham WA 6168",115.7529,-32.2806
329,BOX HILL,Kingswood College,,"355 Station St, Box Hill South VIC 3128",145.1207,-37.8324
330,WARRNAMBOOL,Kings College,,"Upland Road, St Lucia QLD 4067",153.0099,-27.5007
331,ORMOND,Kilvington Grammar School,,"2 Leila Rd, Ormond VIC 3204",145.0408,-37.9
332,ORMOND,Kilvington Baptist Girls Grammar,,"2 Leila Rd, Ormond VIC 3204",145.0408,-37.9
333,SPRINGVALE,Killester College,,"433 Springvale Rd., Springvale VIC 3171",145.1512,-37.9581
334,MENTONE,Kilbreda College,,"118 Mentone Parade, Mentone VIC 3194",145.0649,-37.9832
335,SPRINGVALE SOUTH,Keysborough College (Banksia),,"8-20 Janine Rd, Springvale South VIC 3172",145.1595,-37.9668
336,SPRINGVALE SOUTH,Keysborough College - Coomoora,,"8-20 Janine Rd, Springvale South VIC 3172",145.1595,-37.9668
337,SPRINGVALE SOUTH,Keysborough College - Banksia,,"8-20 Janine Rd, Springvale South VIC 3172",145.1595,-37.9668
338,KEYSBOROUGH,Keysborough College,,"8-20 Janine Rd, Springvale South VIC 3172",145.1595,-37.9668
339,KEW EAST,Kew High School,,"1393 Burke Rd, Kew East VIC 3102",145.0633,-37.7958
340,KERANG,Kerang Technical High School,,"48 Murray Street, Kerang VIC 3585",143.9145,-35.7246
341,KEILOR DOWNS,Keilor Downs College,NORTH WEST,"100-110 Odessa Ave, Keilor Downs VIC 3038",144.8115,-37.716
342,KEALBA,Kealba Secondary College,,"88 Billingham Rd, Deer Park VIC 3023",144.7666,-37.7593
343,FRANKSTON,KARINGAL PARK SECONDARY COLLEGE,,"31 Belar Ave, Frankston VIC 3199, Australia",145.1579,-38.1455
344,BELL POST HILL,Kardinia International College,,"29-31 Kardinia Drive, Bell Post Hill VIC 3215",144.3287,-38.1126
345,KANIVA,Kaniva College,,"Farmers St S, Kaniva VIC 3419",141.2453,-36.3825
346,BROADMEADOWS,Kangan Institute of TAFE,,"1 Batmans Hill Dr, Docklands VIC 3008",144.9484,-37.8222
347,BERWICK,Kambrya College,,"68 Bemersyde Dr, Berwick VIC 3806",145.3472,-38.0545
348,FRANKSTON,John Paul College,,"John Paul Dr, Daisy Hill QLD 4127",153.1482,-27.6358
349,CLAYTON,John Monash Science School,,"39 Innovation Walk, Clayton VIC 3800",145.1292,-37.9138
350,FAWKNER,John Fawkner College,,"Jukes Rd, Fawkner VIC 3060",144.969,-37.7021
351,IVANHOE,Ivanhoe Grammar School,,"41 The Ridgeway, Ivanhoe VIC 3079",145.0436,-37.7752
352,IVANHOE,Ivanhoe Girls Grammar School,,"123 Marshall St, Ivanhoe VIC 3079",145.0476,-37.7665
353,KEYSBOROUGH,Isik College - Dandenong,,"139 Chapel Rd, Keysborough VIC 3173",145.161,-38.0048
354,BROADMEADOWS,Isik College,,"139 Chapel Rd, Keysborough VIC 3173",145.161,-38.0048
355,BROADMEADOWS,Ilim College of Australia,,"30 Inverloch Cres, Dallas VIC 3047",144.9285,-37.6691
356,MOUNT WAVERLEY,Huntingtower School,,"77 Waimarie Dr, Mount Waverley VIC 3149",145.1371,-37.878
357,BROADMEADOWS,Hume Central Secondary College,,"64/78 Tanderrum Way, Broadmeadows VIC 3047",144.9153,-37.6804
358,MICKLEHAM,Hume Anglican Grammar,,"100 Mt Ridley Rd, Mickleham VIC 3064",144.932,-37.5684
359,HORSHAM,Horsham College,,"310 Baillie St, Horsham VIC 3400",142.1831,-36.7116
360,HOPPERS CROSSING,Hoppers Crossing Secondary College,SOUTH WEST,"2 Fraser St, Hoppers Crossing VIC 3029",144.6953,-37.8713
361,HOPETOUN,Hopetoun P-12 College,,"1 Dodgshun St, Hopetoun VIC 3396",142.3663,-35.7341
